OrderDate,Region,City,CustomerID,ProductCategory,ProductName,Quantity,SalesAmount,Profit
2024-12-25,West,Mumbai,CUST6031,Beverages,Pepsi 2L,6,948,123
2025-07-14,East,Patna,CUST8161,Personal Care,Colgate Toothpaste,1,486,62
2025-10-11,East,Kolkata,CUST6959,Household,Vim Bar,3,1296,254
2025-04-04,West,Pune,CUST3194,Groceries,Fortune Oil 1L,6,2616,440
2025-01-19,West,Mumbai,CUST1245,Groceries,Tata Salt 1kg,5,2425,257
2025-05-29,North,Chandigarh,CUST6733,Beverages,Pepsi 2L,2,844,72
2024-12-01,East,Kolkata,CUST5643,Fruits & Vegetables,Bananas 1kg,10,1300,230
2025-10-06,South,Chennai,CUST0669,Personal Care,Lux Soap,2,768,152
2024-01-29,North,Delhi,CUST4399,Groceries,Aashirvaad Atta 5kg,10,4400,349
2024-08-11,North,Jaipur,CUST8506,Household,Vim Bar,1,471,84
2025-11-07,West,Pune,CUST5200,Dairy,Britannia Cheese,5,920,90
2024-11-25,West,Pune,CUST0866,Beverages,Red Bull 250ml,3,567,86
2025-05-11,West,Ahmedabad,CUST3811,Dairy,Paneer 200g,9,3897,484
2025-09-15,North,Chandigarh,CUST7041,Groceries,Tata Salt 1kg,5,2435,236
2024-09-07,West,Ahmedabad,CUST2621,Fruits & Vegetables,Bananas 1kg,9,2835,329
2024-10-19,North,Chandigarh,CUST7515,Beverages,Coca Cola 2L,5,1070,59
2025-09-05,North,Jaipur,CUST4714,Bakery,Buns 4pcs,7,3185,491
2025-08-06,North,Chandigarh,CUST6396,Dairy,Britannia Cheese,2,578,68
2025-10-02,South,Bengaluru,CUST5500,Fruits & Vegetables,Bananas 1kg,9,4239,281
2024-11-12,South,Bengaluru,CUST9948,Household,Harpic Toilet Cleaner,5,375,27
2024-10-21,West,Mumbai,CUST5582,Dairy,Britannia Cheese,10,2960,465
2025-09-19,East,Patna,CUST8994,Snacks,Bingo Mad Angles,3,1203,131
2025-12-10,West,Ahmedabad,CUST8878,Household,Harpic Toilet Cleaner,6,588,91
2025-05-12,North,Delhi,CUST8245,Dairy,Paneer 200g,7,2072,368
2025-03-16,South,Chennai,CUST4860,Beverages,Pepsi 2L,1,387,47
2024-09-15,North,Jaipur,CUST2881,Bakery,Cake 500g,3,180,26
2025-09-27,West,Pune,CUST2517,Personal Care,Dove Soap,2,692,45
2025-06-13,North,Chandigarh,CUST0643,Beverages,Coca Cola 2L,8,488,91
2024-08-05,South,Chennai,CUST8571,Dairy,Amul Milk 1L,7,2492,350
2024-08-20,South,Hyderabad,CUST2269,Bakery,Cake 500g,6,2574,276
2025-05-28,West,Mumbai,CUST1893,Household,Harpic Toilet Cleaner,8,1248,202
2025-06-07,South,Chennai,CUST1019,Groceries,Tata Salt 1kg,6,576,78
2024-02-14,West,Ahmedabad,CUST9863,Bakery,Britannia Bread,8,3224,423
2024-10-10,South,Chennai,CUST5314,Bakery,Cake 500g,2,284,56
2025-04-23,North,Delhi,CUST6720,Groceries,Aashirvaad Atta 5kg,10,1720,193
2025-08-01,East,Kolkata,CUST3130,Dairy,Amul Milk 1L,5,650,97
2025-04-17,South,Chennai,CUST8130,Snacks,Bingo Mad Angles,2,174,16
2025-03-14,East,Patna,CUST5234,Fruits & Vegetables,Bananas 1kg,2,142,8
2025-09-25,North,Chandigarh,CUST7092,Dairy,Paneer 200g,10,1960,177
2025-10-08,West,Ahmedabad,CUST8920,Dairy,Paneer 200g,4,388,58
2025-12-12,West,Ahmedabad,CUST1953,Beverages,Coca Cola 2L,8,3568,350
2024-03-24,South,Chennai,CUST3472,Dairy,Paneer 200g,4,1712,189
2025-03-18,North,Chandigarh,CUST8678,Beverages,Coca Cola 2L,1,330,31
2024-12-15,East,Bhubaneswar,CUST0160,Beverages,Red Bull 250ml,2,648,64
2024-05-08,North,Chandigarh,CUST8857,Fruits & Vegetables,Tomatoes 1kg,8,1784,290
2024-08-26,West,Pune,CUST5391,Personal Care,Dove Soap,5,1790,342
2024-02-15,North,Chandigarh,CUST8887,Fruits & Vegetables,Bananas 1kg,9,3573,216
2024-08-02,East,Kolkata,CUST7365,Dairy,Britannia Cheese,4,1896,353
2024-12-22,North,Chandigarh,CUST2664,Bakery,Cake 500g,3,1212,118
2024-12-07,East,Patna,CUST4694,Fruits & Vegetables,Tomatoes 1kg,8,1736,264
2024-12-13,South,Chennai,CUST9171,Snacks,KurKure 50g,9,1269,253
2025-09-27,East,Kolkata,CUST0896,Groceries,Aashirvaad Atta 5kg,9,2124,174
2024-05-25,South,Bengaluru,CUST6293,Dairy,Paneer 200g,8,1856,144
2025-08-07,West,Ahmedabad,CUST7430,Fruits & Vegetables,Bananas 1kg,5,325,61
2024-08-29,North,Chandigarh,CUST2706,Household,Vim Bar,6,1038,182
2025-03-25,North,Chandigarh,CUST8378,Fruits & Vegetables,Apples 1kg,7,630,53
2024-07-07,East,Kolkata,CUST6788,Personal Care,Colgate Toothpaste,4,472,24
2024-09-09,North,Delhi,CUST8561,Dairy,Paneer 200g,9,2421,187
2025-09-16,East,Kolkata,CUST6217,Dairy,Paneer 200g,4,912,149
2024-09-23,North,Chandigarh,CUST9286,Snacks,KurKure 50g,7,1988,227
2024-02-17,North,Jaipur,CUST7259,Dairy,Amul Milk 1L,10,1690,118
2025-08-13,West,Mumbai,CUST2394,Beverages,Pepsi 2L,4,1844,149
2025-05-23,South,Bengaluru,CUST9561,Dairy,Britannia Cheese,9,3951,546
2025-09-13,South,Bengaluru,CUST1082,Dairy,Amul Milk 1L,3,924,181
2024-01-31,South,Chennai,CUST6376,Groceries,Fortune Oil 1L,9,3726,249
2025-09-25,West,Ahmedabad,CUST1166,Beverages,Red Bull 250ml,4,1584,194
2025-08-10,West,Pune,CUST0431,Fruits & Vegetables,Bananas 1kg,8,3112,318
2024-06-23,North,Delhi,CUST5134,Personal Care,Dove Soap,1,464,52
2024-04-07,South,Bengaluru,CUST8720,Fruits & Vegetables,Apples 1kg,5,1345,121
2025-09-13,West,Ahmedabad,CUST8098,Fruits & Vegetables,Apples 1kg,1,84,10
2025-09-02,West,Mumbai,CUST3436,Personal Care,Dove Soap,7,2254,305
2025-05-17,East,Patna,CUST5152,Personal Care,Lux Soap,1,107,17
2024-03-09,North,Delhi,CUST9100,Dairy,Paneer 200g,2,404,71
2024-03-11,North,Jaipur,CUST9472,Household,Surf Excel 1kg,9,945,160
2025-01-01,South,Chennai,CUST2108,Personal Care,Dove Soap,8,3896,512
2025-08-19,West,Mumbai,CUST9810,Personal Care,Colgate Toothpaste,9,531,28
2025-09-04,East,Kolkata,CUST2354,Fruits & Vegetables,Bananas 1kg,8,3736,587
2024-09-08,South,Hyderabad,CUST2879,Beverages,Red Bull 250ml,9,3960,730
2025-09-20,East,Bhubaneswar,CUST5434,Fruits & Vegetables,Tomatoes 1kg,9,702,87
2025-01-19,East,Kolkata,CUST4189,Snacks,Lays Chips 100g,8,1680,195
2025-08-27,East,Patna,CUST2151,Beverages,Red Bull 250ml,7,434,46
2024-10-01,West,Pune,CUST6097,Personal Care,Dove Soap,6,2346,238
2024-12-05,East,Patna,CUST2830,Snacks,KurKure 50g,8,3928,262
2024-01-10,South,Bengaluru,CUST5874,Household,Surf Excel 1kg,9,1629,198
2025-10-31,East,Bhubaneswar,CUST1437,Personal Care,Colgate Toothpaste,5,305,44
2024-02-20,West,Ahmedabad,CUST6265,Household,Vim Bar,6,1602,288
2024-09-30,North,Chandigarh,CUST2483,Beverages,Pepsi 2L,2,910,75
2025-09-02,South,Hyderabad,CUST7693,Fruits & Vegetables,Apples 1kg,7,3479,330
2024-12-16,East,Patna,CUST1418,Groceries,Tata Salt 1kg,7,889,63
2024-03-08,South,Hyderabad,CUST8783,Bakery,Cake 500g,9,2223,138
2025-07-20,South,Bengaluru,CUST3175,Snacks,Bingo Mad Angles,5,1615,238
2024-11-18,South,Chennai,CUST8376,Personal Care,Lux Soap,6,2760,188
2024-09-23,South,Bengaluru,CUST0193,Fruits & Vegetables,Bananas 1kg,7,3416,573
2024-06-17,East,Kolkata,CUST5683,Snacks,Lays Chips 100g,7,903,154
